# G_eff vs. r pro kompletní model
# M = 1.989e+30 kg = 1.00e+00 M_sun
# rho = 1.408e+03 kg/m^3
# R_proj = 2.300e-02 m
# sigma_max = 0.2
# r[m], G_eff/G_N
3.573602e+06,9.048374e-01
3.883098e+06,9.048374e-01
4.219398e+06,9.048374e-01
4.584824e+06,9.048374e-01
4.981898e+06,9.048374e-01
5.413360e+06,9.048374e-01
5.882190e+06,9.048374e-01
6.391624e+06,9.048374e-01
6.945178e+06,9.048374e-01
7.546673e+06,9.048374e-01
8.200261e+06,9.048374e-01
8.910453e+06,9.048374e-01
9.682153e+06,9.048374e-01
1.052069e+07,9.048374e-01
1.143184e+07,9.048374e-01
1.242191e+07,9.048374e-01
1.349772e+07,9.048374e-01
1.466671e+07,9.048374e-01
1.593694e+07,9.048374e-01
1.731717e+07,9.048374e-01
1.881694e+07,9.048374e-01
2.044661e+07,9.048374e-01
2.221741e+07,9.048374e-01
2.414157e+07,9.048374e-01
2.623238e+07,9.048374e-01
2.850426e+07,9.048374e-01
3.097291e+07,9.048374e-01
3.365535e+07,9.048374e-01
3.657011e+07,9.048374e-01
3.973730e+07,9.048374e-01
4.317880e+07,9.048374e-01
4.691835e+07,9.048374e-01
5.098176e+07,9.048374e-01
5.539709e+07,9.048374e-01
6.019482e+07,9.048374e-01
6.540806e+07,9.048374e-01
7.107280e+07,9.048374e-01
7.722814e+07,9.048374e-01
8.391656e+07,9.048374e-01
9.118425e+07,9.048374e-01
9.908137e+07,9.048374e-01
1.076624e+08,9.048374e-01
1.169866e+08,9.048374e-01
1.271184e+08,9.048374e-01
1.381276e+08,9.048374e-01
1.500903e+08,9.048374e-01
1.630891e+08,9.048374e-01
1.772136e+08,9.048374e-01
1.925614e+08,9.048374e-01
2.092383e+08,9.048374e-01
2.273597e+08,9.048374e-01
2.470504e+08,9.048374e-01
2.684465e+08,9.048374e-01
2.916956e+08,9.048374e-01
3.169582e+08,9.048374e-01
3.444087e+08,9.048374e-01
3.742366e+08,9.048374e-01
4.066478e+08,9.048374e-01
4.418660e+08,9.048374e-01
4.801343e+08,9.048374e-01
5.217169e+08,9.048374e-01
5.669007e+08,9.048374e-01
6.159978e+08,9.048374e-01
6.693470e+08,9.048374e-01
7.273165e+08,9.048374e-01
7.903066e+08,9.048374e-01
8.587519e+08,9.048374e-01
9.331251e+08,9.048374e-01
1.013939e+09,9.048374e-01
1.101753e+09,9.048374e-01
1.197171e+09,9.048374e-01
1.300854e+09,9.048374e-01
1.413516e+09,9.048374e-01
1.535935e+09,9.048374e-01
1.668956e+09,9.048374e-01
1.813498e+09,9.048374e-01
1.970558e+09,9.048374e-01
2.141220e+09,9.048374e-01
2.326663e+09,9.048374e-01
2.528166e+09,9.048374e-01
2.747121e+09,9.048374e-01
2.985038e+09,9.048374e-01
3.243561e+09,9.048374e-01
3.524473e+09,9.048374e-01
3.829714e+09,9.048374e-01
4.161391e+09,9.048374e-01
4.521792e+09,9.048374e-01
4.913407e+09,9.048374e-01
5.338938e+09,9.048374e-01
5.801323e+09,9.048374e-01
6.303753e+09,9.048374e-01
6.849697e+09,9.048374e-01
7.442922e+09,9.048374e-01
8.087525e+09,9.048374e-01
8.787954e+09,9.048374e-01
9.549045e+09,9.048374e-01
1.037605e+10,9.048374e-01
1.127468e+10,9.048374e-01
1.225114e+10,9.048374e-01
1.331216e+10,9.048374e-01
1.446507e+10,9.048374e-01
1.571784e+10,9.048374e-01
1.707910e+10,9.048374e-01
1.855825e+10,9.048374e-01
2.016551e+10,9.048374e-01
2.191197e+10,9.048374e-01
2.380968e+10,9.048374e-01
2.587174e+10,9.048374e-01
2.811239e+10,9.048374e-01
3.054710e+10,9.048374e-01
3.319266e+10,9.048374e-01
3.606735e+10,9.048374e-01
3.919100e+10,9.048374e-01
4.258518e+10,9.048374e-01
4.627332e+10,9.048374e-01
5.028087e+10,9.048374e-01
5.463550e+10,9.048374e-01
5.936727e+10,9.048374e-01
6.450884e+10,9.048374e-01
7.009570e+10,9.048374e-01
7.616642e+10,9.048374e-01
8.276289e+10,9.048374e-01
8.993067e+10,9.048374e-01
9.771921e+10,9.048374e-01
1.061823e+11,9.048374e-01
1.153783e+11,9.048374e-01
1.253708e+11,9.048374e-01
1.362287e+11,9.048374e-01
1.480269e+11,9.048374e-01
1.608469e+11,9.048374e-01
1.747773e+11,9.048374e-01
1.899141e+11,9.048374e-01
2.063618e+11,9.048374e-01
2.242340e+11,9.048374e-01
2.436540e+11,9.048374e-01
2.647559e+11,9.048374e-01
2.876854e+11,9.048374e-01
3.126007e+11,9.048374e-01
3.396739e+11,9.048374e-01
3.690917e+11,9.048374e-01
4.010573e+11,9.048374e-01
4.357913e+11,9.048374e-01
4.735335e+11,9.048374e-01
5.145444e+11,9.048374e-01
5.591071e+11,9.048374e-01
6.075292e+11,9.048374e-01
6.601449e+11,9.048374e-01
7.173175e+11,9.048374e-01
7.794416e+11,9.048374e-01
8.469460e+11,9.048374e-01
9.202967e+11,9.048374e-01
1.000000e+12,9.048374e-01
