z, E_new(eV), E_conformal(eV), E_logarithmic(eV), Ratio_conf, Ratio_log
2.903526884977813793e+01,1.643345830307994112e+18,1.646066155673289799e+01,1.643345830307994112e+18,1.001655357816428577e-17,1.000000000000000000e+00
3.154990064958088425e+01,1.682179994825885952e+18,1.857053865398404824e+01,1.682179994825885952e+18,1.103956693760716841e-17,1.000000000000000000e+00
3.428231493733970581e+01,1.721113431194743808e+18,2.095731341959515959e+01,1.721113431194743808e+18,1.217660209940215263e-17,1.000000000000000000e+00
3.725137300800213325e+01,1.760138676891717376e+18,2.365759227624063143e+01,1.760138676891717376e+18,1.344075474667615182e-17,1.000000000000000000e+00
4.047756965997321998e+01,1.799248798052076288e+18,2.671283318329237488e+01,1.799248798052076288e+18,1.484665890132178044e-17,1.000000000000000000e+00
4.398317466650227914e+01,1.838437356876447232e+18,3.016998911362707858e+01,1.838437356876447232e+18,1.641067018181499209e-17,1.000000000000000000e+00
4.779238649935599881e+01,1.877698380297456128e+18,3.408223689853280547e+01,1.877698380297456128e+18,1.815107114974112939e-17,1.000000000000000000e+00
5.193149936590211979e+01,1.917026329984732416e+18,3.850980276716458661e+01,1.917026329984732416e+18,2.008830143061795435e-17,1.000000000000000000e+00
5.642908471262542491e+01,1.956416073738701824e+18,4.352089740979891275e+01,1.956416073738701824e+18,2.224521562360233835e-17,1.000000000000000000e+00
6.131618844795774947e+01,1.995862858299729408e+18,4.919277509633616319e+01,1.995862858299729408e+18,2.464737238421449598e-17,1.000000000000000000e+00
6.662654524581157034e+01,2.035362283579400192e+18,5.561293330954950420e+01,2.035362283579400192e+18,2.732335847933089826e-17,1.000000000000000000e+00
7.239681140910876422e+01,2.074910278304507392e+18,6.288047153644282616e+01,2.074910278304507392e+18,3.030515208003354406e-17,1.000000000000000000e+00
7.866681790071589830e+01,2.114503077051324416e+18,7.110763033471195627e+01,2.114503077051324416e+18,3.362853008181552878e-17,1.000000000000000000e+00
8.547984528840413532e+01,2.154137198637355776e+18,8.042153459313097130e+01,2.154137198637355776e+18,3.733352483026767177e-17,1.000000000000000000e+00
9.288292250172499109e+01,2.193809425829808128e+18,9.096616807827942353e+01,2.193809425829808128e+18,4.146493629175263739e-17,1.000000000000000000e+00
1.009271514630571858e+02,2.233516786323975424e+18,1.029046099546855544e+02,2.233516786323975424e+18,4.607290645173555612e-17,1.000000000000000000e+00
1.096680598336869679e+02,2.273256534940406784e+18,1.164215680370794246e+02,2.273256534940406784e+18,5.121356355855869658e-17,1.000000000000000000e+00
1.191659843098558724e+02,2.313026136986802688e+18,1.317262481452947043e+02,2.313026136986802688e+18,5.694974476894391293e-17,1.000000000000000000e+00
1.294864871145904885e+02,2.352823252728801792e+18,1.490556041561148959e+02,2.352823252728801792e+18,6.335180680624452682e-17,1.000000000000000000e+00
1.407008085602686549e+02,2.392645722913017856e+18,1.686780192632103592e+02,2.392645722913017856e+18,7.049853542790567070e-17,1.000000000000000000e+00
1.528863588058729590e+02,2.432491555285683712e+18,1.908974756582431382e+02,2.432491555285683712e+18,7.847816583101074701e-17,1.000000000000000000e+00
1.661272522034292933e+02,2.472358912050847232e+18,2.160582774373546897e+02,2.472358912050847232e+18,8.738952762248104617e-17,1.000000000000000000e+00
1.805148879221110008e+02,2.512246098213148160e+18,2.445504001356025299e+02,2.512246098213148160e+18,9.734332966405665588e-17,1.000000000000000000e+00
1.961485808579433296e+02,2.552151550751734272e+18,2.768155500311398214e+02,2.552151550751734272e+18,1.084636019947969063e-16,1.000000000000000000e+00
2.131362471841437696e+02,2.592073828573607936e+18,3.133540273923386508e+02,2.592073828573607936e+18,1.208893141615392220e-16,1.000000000000000000e+00
2.315951492743154461e+02,2.632011603196718080e+18,3.547325003361855238e+02,2.632011603196718080e+18,1.347761916799090167e-16,1.000000000000000000e+00
2.516527051405394104e+02,2.671963650115207680e+18,4.015928101192409372e+02,2.671963650115207680e+18,1.502987550380505323e-16,1.000000000000000000e+00
2.734473679737579914e+02,2.711928840801507328e+18,4.546619447133264202e+02,2.711928840801507328e+18,1.676526086794193293e-16,1.000000000000000000e+00
2.971295818577333989e+02,2.751906135302198784e+18,5.147633356759362186e+02,2.751906135302198784e+18,1.870570108014995391e-16,1.000000000000000000e+00
3.228628202536733625e+02,2.791894575386872320e+18,5.828296538924408878e+02,2.791894575386872320e+18,2.087577586312256492e-16,1.000000000000000000e+00
3.508247144239795716e+02,2.831893278211507712e+18,6.599173030631615120e+02,2.831893278211507712e+18,2.330304281381446255e-16,1.000000000000000000e+00
3.812082795843887766e+02,2.871901430460091392e+18,7.472228361952934392e+02,2.871901430460091392e+18,2.601840119824672971e-16,1.000000000000000000e+00
4.142232472483897823e+02,2.911918282930415104e+18,8.461015502477171140e+02,2.911918282930415104e+18,2.905650049342184848e-16,1.000000000000000000e+00
4.500975129608050906e+02,2.951943145532063744e+18,9.580885479303328793e+02,2.951943145532063744e+18,3.245619921171094273e-16,1.000000000000000000e+00
4.890787094139589612e+02,2.991975382666688000e+18,1.084922594005050996e+03,2.991975382666688000e+18,3.626108023115086808e-16,1.000000000000000000e+00
5.314359158053241572e+02,3.032014408962557440e+18,1.228573136868719985e+03,3.032014408962557440e+18,4.052002962905087501e-16,1.000000000000000000e+00
5.774615152359825743e+02,3.072059685337252352e+18,1.391270915394273288e+03,3.072059685337252352e+18,4.528788688692221081e-16,1.000000000000000000e+00
6.274732129711587731e+02,3.112110715364167168e+18,1.575542626729951735e+03,3.112110715364167168e+18,5.062617531412560039e-16,1.000000000000000000e+00
6.818162294944479527e+02,3.152167041920091136e+18,1.784250193873343051e+03,3.152167041920091136e+18,5.660392263940733796e-16,1.000000000000000000e+00
7.408656834939567943e+02,3.192228244092785664e+18,2.020635243328626302e+03,3.192228244092785664e+18,6.329858295902899213e-16,1.000000000000000000e+00
8.050291812295988620e+02,3.232293934328909824e+18,2.288369484132476828e+03,3.232293934328909824e+18,7.079707262475772227e-16,1.000000000000000000e+00
8.747496301554415368e+02,3.272363755804079104e+18,2.591611771255731583e+03,3.272363755804079104e+18,7.919693422404764460e-16,1.000000000000000000e+00
9.505082962189511591e+02,3.312437379998142464e+18,2.935072740279105346e+03,3.312437379998142464e+18,8.860764457019716656e-16,1.000000000000000000e+00
1.032828125941029612e+03,3.352514504459976704e+18,3.324088017917052639e+03,3.352514504459976704e+18,9.915208460678970142e-16,1.000000000000000000e+00
1.122277356208509445e+03,3.392594850747283456e+18,3.764701146253504703e+03,3.392594850747283456e+18,1.109681913660942306e-15,1.000000000000000000e+00
1.219473436696738190e+03,3.432678162527899136e+18,4.263757509527519687e+03,3.432678162527899136e+18,1.242108146365692290e-15,1.000000000000000000e+00
1.325087291997953798e+03,3.472764203830170112e+18,4.829010723313401286e+03,3.472764203830170112e+18,1.390538038254196453e-15,1.000000000000000000e+00
1.439847952876009458e+03,3.512852757430846464e+18,5.469243139635322223e+03,3.512852757430846464e+18,1.556923536879267854e-15,1.000000000000000000e+00
1.564547588616095709e+03,3.552943623369838592e+18,6.194402340952819031e+03,3.552943623369838592e+18,1.743456411806965963e-15,1.000000000000000000e+00
1.700046975206718116e+03,3.593036617581967872e+18,7.015755744459053858e+03,3.593036617581967872e+18,1.952597897312969166e-15,1.000000000000000000e+00
1.847281437099635923e+03,3.633131570636591104e+18,7.946065719611917302e+03,3.633131570636591104e+18,2.187112017586421079e-15,1.000000000000000000e+00
2.007267303562572351e+03,3.673228326576696832e+18,8.999787940644075206e+03,3.673228326576696832e+18,2.450103053907220922e-15,1.000000000000000000e+00
2.181108924191519691e+03,3.713326741849681920e+18,1.019329605692557743e+04,3.713326741849681920e+18,2.745057670806553975e-15,1.000000000000000000e+00
2.370006292009330537e+03,3.753426684322637824e+18,1.154513617309664915e+04,3.753426684322637824e+18,3.075892282995303237e-15,1.000000000000000000e+00
2.575263326771203992e+03,3.793528032375512064e+18,1.307631509420408474e+04,3.793528032375512064e+18,3.447006317761590466e-15,1.000000000000000000e+00
2.798296875655115855e+03,3.833630674066040832e+18,1.481062681586603321e+04,3.833630674066040832e+18,3.863342109624119408e-15,1.000000000000000000e+00
